disease,symptoms,description,precautions,medications,followup_questions
Common Cold,"runny nose, sneezing, sore throat, cough, congestion, mild fever, headache, fatigue","A viral infection of the upper respiratory tract caused by rhinoviruses. It is one of the most frequent illnesses and usually resolves within 7–10 days.","Rest adequately|Stay hydrated with warm fluids|Wash hands frequently|Avoid close contact with others|Cover mouth when coughing","Paracetamol for fever|Lozenges for sore throat|Saline nasal spray for congestion|Vitamin C supplements","Do you have a high fever above 38.5°C?|How many days have you had these symptoms?|Do you have body aches?|Are you experiencing difficulty breathing?"
Influenza (Flu),"high fever, chills, severe body aches, muscle pain, headache, fatigue, cough, sore throat, runny nose","Influenza is a contagious respiratory illness caused by influenza viruses. It can cause mild to severe illness and can lead to complications in high-risk individuals.","Get annual flu vaccine|Rest and avoid physical exertion|Stay hydrated|Avoid contact with sick individuals|Wash hands regularly","Paracetamol or ibuprofen for fever and pain|Decongestants for nasal symptoms|Antiviral medications if prescribed early","When did symptoms start suddenly?|Do you have severe body pain?|Have you been vaccinated this year?|Are you in a high-risk group such as elderly or pregnant?"
COVID-19,"fever, dry cough, fatigue, loss of taste, loss of smell, shortness of breath, body aches, headache, sore throat, congestion","COVID-19 is an infectious disease caused by the SARS-CoV-2 virus. Symptoms range from mild to severe and can include respiratory complications requiring hospitalization.","Isolate immediately|Wear mask|Monitor oxygen levels|Stay hydrated and rest|Seek emergency care if breathing is difficult","Paracetamol for fever|Vitamins D and Zinc|Consult doctor for antiviral treatment|Oxygen support if needed","Have you lost your sense of taste or smell?|What is your oxygen saturation level?|Have you been in contact with a COVID-19 patient?|Do you have difficulty breathing?"
Pneumonia,"high fever, productive cough with phlegm, chest pain, shortness of breath, rapid breathing, fatigue, chills, sweating","Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm, fever, chills, and difficulty breathing.","Seek medical attention promptly|Complete prescribed antibiotic course|Rest and avoid strenuous activity|Stay well hydrated|Avoid smoking","Antibiotics for bacterial pneumonia (prescription needed)|Paracetamol for fever|Cough suppressants|Bronchodilators if needed","Do you have sharp chest pain when breathing?|Are you coughing up colored phlegm?|How high is your fever?|Do you have difficulty taking deep breaths?"
Tuberculosis (TB),"persistent cough lasting weeks, coughing blood, night sweats, unexplained weight loss, fatigue, fever, chest pain","Tuberculosis is a serious infectious disease that mainly affects the lungs. It is caused by Mycobacterium tuberculosis and spreads through airborne droplets when infected people cough or sneeze.","See a doctor immediately|Complete full TB treatment course|Isolate during infectious period|Use proper ventilation|Wear mask","Anti-TB medications (strict prescription required)|Vitamins B6 supplements during treatment|Nutritional support","How long have you had the cough?|Have you noticed blood in your sputum?|Have you experienced unexplained weight loss?|Have you been in contact with a TB patient?"
Asthma,"wheezing, shortness of breath, chest tightness, coughing especially at night, difficulty breathing during exercise","Asthma is a chronic condition affecting the airways. Airways become inflamed and narrowed, causing breathing difficulties. Triggers include allergens, exercise, cold air, and stress.","Avoid known triggers|Keep rescue inhaler accessible|Monitor peak flow regularly|Follow asthma action plan|Avoid smoking and secondhand smoke","Short-acting bronchodilator inhaler (Salbutamol)|Corticosteroid inhaler for prevention|Antihistamines if allergic trigger|Consult doctor for long-term management","What triggers your breathing difficulty?|Do you have a prescribed inhaler?|Does it worsen at night or during exercise?|Do you have allergies?"
Diabetes,"frequent urination, excessive thirst, unexplained weight loss, fatigue, blurred vision, slow-healing wounds, frequent infections","Diabetes is a chronic condition where the body cannot properly produce or use insulin. Type 1 involves no insulin production; Type 2 involves insulin resistance. Both cause high blood sugar levels.","Monitor blood glucose regularly|Follow diabetic diet|Exercise regularly|Take medications as prescribed|Get regular eye and foot checkups","Metformin for Type 2 (prescription)|Insulin therapy as prescribed|Blood glucose monitoring supplies|Vitamins and supplements as recommended","What is your current blood sugar level?|Do you have a family history of diabetes?|When did you last eat?|Do you have any wounds that are not healing?"
Hypertension,"headache especially morning, dizziness, blurred vision, chest pain, shortness of breath, nosebleeds, irregular heartbeat","Hypertension or high blood pressure is a condition where the force of blood against artery walls is consistently too high. Often called the silent killer as it may have no symptoms for years.","Reduce salt intake|Exercise regularly|Maintain healthy weight|Limit alcohol and caffeine|Monitor blood pressure regularly|Manage stress","Antihypertensive medications (prescription required)|Potassium-rich foods|Omega-3 supplements|Reduce caffeine consumption","What is your current blood pressure reading?|Do you have a family history of hypertension?|Do you smoke or consume alcohol regularly?|What is your stress level like?"
Gastroenteritis,"nausea, vomiting, diarrhea, stomach cramps, abdominal pain, fever, headache, muscle aches","Gastroenteritis is inflammation of the stomach and intestines, usually caused by viral or bacterial infection. It commonly leads to vomiting and diarrhea and can cause dehydration.","Stay hydrated with clear fluids and ORS|Rest the stomach with bland foods|Wash hands frequently|Avoid dairy and fatty foods temporarily|Seek help if dehydration is severe","Oral Rehydration Salts (ORS)|Probiotics to restore gut flora|Antinausea medication if needed|Zinc supplements for children","How many times have you vomited?|Is there blood in your stool?|Are you able to keep fluids down?|How long have you had diarrhea?"
Migraine,"severe throbbing headache, sensitivity to light, sensitivity to sound, nausea, vomiting, aura or visual disturbances, one-sided head pain","Migraine is a neurological condition characterized by intense, debilitating headaches often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Episodes can last hours to days.","Rest in a dark quiet room|Stay hydrated|Identify and avoid triggers|Use cold or warm compress|Manage stress and sleep schedule","Ibuprofen or Paracetamol for mild attacks|Sumatriptan for migraine-specific treatment (prescription)|Anti-nausea medication|Preventive medications if frequent","Is this a recurring headache pattern?|Do you have visual disturbances before headache?|What are your usual triggers?|How long does the headache typically last?"
